Frequency (Hz), Duty Cycle (%), Duty Cycle Count (#)
0.10, 0.36, 15
0.20, 0.70, 29
0.30, 1.05, 43
0.40, 1.44, 59
0.50, 1.83, 75
0.60, 2.17, 89
0.70, 2.49, 102
0.80, 2.90, 119
0.90, 3.19, 131
1.00, 3.63, 149
2.00, 7.30, 299
3.00, 10.67, 437
4.00, 14.50, 594
5.00, 17.72, 726
6.00, 21.58, 884
7.00, 24.56, 1006
8.00, 27.96, 1145
9.00, 31.50, 1290
10.00, 35.84, 1468
20.00, 67.20, 2752
30.00, 88.81, 3637
40.00, 95.33, 3904
50.00, 96.89, 3968
60.00, 98.07, 4016
70.00, 97.80, 4005
80.00, 97.89, 4009
90.00, 98.02, 4014
100.00, 97.87, 4008
200.00, 97.31, 3985
300.00, 96.75, 3962
400.00, 96.33, 3945
500.00, 95.84, 3925
600.00, 95.43, 3908
700.00, 95.23, 3900
800.00, 95.01, 3891
900.00, 94.84, 3884
1000.00, 94.89, 3886
2000.00, 94.57, 3873
3000.00, 94.57, 3873
4000.00, 94.79, 3882
5000.00, 94.99, 3890
6000.00, 94.57, 3873
7000.00, 95.09, 3894
8000.00, 95.18, 3898
9000.00, 94.57, 3873
