Frequency (Hz), Duty Cycle (%), Duty Cycle Count (#)
0.01, 0.43, 18
0.02, 0.87, 36
0.03, 1.34, 55
0.04, 1.75, 72
0.05, 2.24, 92
0.06, 2.66, 109
0.07, 3.10, 127
0.08, 3.54, 145
0.09, 3.98, 163
0.10, 4.49, 184
0.20, 9.10, 373
0.30, 13.50, 553
0.40, 17.94, 735
0.50, 22.24, 911
0.60, 26.73, 1095
0.70, 31.20, 1278
0.80, 35.53, 1455
0.90, 40.04, 1640
1.00, 44.17, 1809
2.00, 85.56, 3504
3.00, 99.12, 4059
4.00, 98.94, 4052
5.00, 98.77, 4045
6.00, 98.55, 4036
7.00, 98.33, 4027
8.00, 98.14, 4019
9.00, 97.94, 4011
10.00, 97.70, 4001
20.00, 95.57, 3914
30.00, 93.47, 3828
40.00, 91.45, 3745
50.00, 89.25, 3655
60.00, 87.47, 3582
70.00, 85.10, 3485
80.00, 83.00, 3399
90.00, 81.07, 3320
100.00, 79.04, 3237
200.00, 61.85, 2533
300.00, 51.08, 2092
400.00, 44.83, 1836
500.00, 40.92, 1676
600.00, 38.02, 1557
700.00, 36.31, 1487
800.00, 34.92, 1430
900.00, 33.84, 1386
1000.00, 33.08, 1355
2000.00, 29.37, 1203
3000.00, 28.15, 1153
4000.00, 27.59, 1130
5000.00, 26.98, 1105
6000.00, 26.95, 1104
7000.00, 26.59, 1089
8000.00, 26.39, 1081
9000.00, 26.12, 1070
